Coincidencias;Eficiencia;Tiempo UTC
3.58528;1;1571080960
3.615;1;1571084558
3.61417;1;1571088156
3.56417;1;1571091754
3.60222;1;1571095352
3.57333;1;1571098951
3.5825;1;1571102549
3.55611;1;1571106147
3.58139;1;1571109745
3.52889;1;1571113343
3.5675;1;1571116941
3.55056;1;1571120539
3.53056;1;1571124138
3.57278;1;1571127736
3.55722;1;1571131334
3.51278;1;1571134932
3.54167;1;1571138530
3.52944;1;1571142129
3.52472;1;1571145727
3.56306;1;1571149325
3.51306;1;1571152923
3.5132;0.999093;1571156521
3.57111;1;1571160119
3.49222;1;1571163718
3.5475;1;1571167316
3.51944;1;1571170914
3.53722;1;1571174512
3.54417;1;1571178110
3.59;1;1571181708
3.5125;1;1571185307
3.53444;1;1571188905
3.54528;1;1571192503
3.47139;1;1571196101
3.52611;1;1571199699
3.55833;1;1571203297
3.56361;1;1571206896
3.51611;1;1571210494
3.55;1;1571214092
3.51583;1;1571217690
3.505;1;1571221288
3.48222;1;1571224886
3.51639;1;1571228485
3.54639;1;1571232083
3.53639;1;1571235681
3.58778;1;1571239279
3.55333;1;1571242877
3.55444;1;1571246475
3.60639;1;1571250073
3.50889;1;1571253672
3.55056;1;1571257270
3.55083;1;1571260868
3.52306;1;1571264466
3.59722;1;1571268064
3.54917;1;1571271662
3.59333;1;1571275261
3.52361;1;1571278859
3.59611;1;1571282457
3.56917;1;1571286055
3.5475;1;1571289653
3.54972;1;1571293252
3.51639;1;1571296850
3.54472;1;1571300448
3.57806;1;1571304046
3.50861;1;1571307644
3.61389;1;1571311242
3.56611;1;1571314841
3.52056;1;1571318439
3.55111;1;1571322037
3.63583;1;1571325635
3.57833;1;1571329233
3.59444;1;1571332831
3.59917;1;1571336430
3.58917;1;1571340028
3.67028;1;1571343626
3.59056;1;1571347224
3.61083;1;1571350822
3.59333;1;1571354420
3.56611;1;1571358018
3.58806;1;1571361616
3.58417;1;1571365214
3.56405;0.999109;1571368812
3.52667;1;1571372410
3.54694;1;1571376009
3.56028;1;1571379607
3.545;1;1571383205
3.52056;1;1571386803
3.56056;1;1571390401
3.58444;1;1571393999
3.595;1;1571397598
3.58861;1;1571401196
3.56;1;1571404794
3.58944;1;1571408392
3.49333;1;1571411990
3.57194;1;1571415588
3.52611;1;1571419187
3.58639;1;1571422785
3.55889;1;1571426383
3.5775;1;1571429981
3.565;1;1571433579
3.5525;1;1571437177
3.51944;1;1571440776
3.51833;1;1571444374
3.51833;1;1571447972
3.54472;1;1571451570
3.55556;1;1571455168
3.50639;1;1571458767
3.52056;1;1571462365
3.54;1;1571465963
3.57722;1;1571469561
3.54028;1;1571473159
3.49833;1;1571476758
3.51306;1;1571480356
3.51861;1;1571483954
3.51889;1;1571487552
3.53944;1;1571491150
3.51444;1;1571494749
3.51472;1;1571498347
3.57056;1;1571501945
3.54528;1;1571505543
3.57333;1;1571509141
3.56944;1;1571512739
3.56972;1;1571516337
3.53098;0.999099;1571519935
3.52361;1;1571523533
3.55571;0.999107;1571527131
3.54139;1;1571530729
3.60722;1;1571534327
3.56528;1;1571537925
3.52417;1;1571541523
3.58083;1;1571545122
3.545;1;1571548720
3.57083;1;1571552318
3.58167;1;1571555916
3.6;1;1571559514
3.57167;1;1571563112
3.63694;1;1571566711
3.60306;1;1571570309
3.5625;1;1571573907
3.61528;1;1571577505
3.58377;0.999116;1571581103
3.61139;1;1571584701
3.57528;1;1571588299
3.56861;1;1571591897
3.63556;1;1571595496
3.57667;1;1571599094
3.5975;1;1571602692
3.59016;0.999041;1571606290
3.58056;1;1571609888
3.57611;1;1571613486
3.56972;1;1571617084
3.53889;1;1571620682
3.615;1;1571624280
