Fecha,Hora,Coincidencias
060718,063543,406851
060718,063643,407107
060718,063743,407363
060718,063843,407619
060718,063943,407875
060718,064044,409668
060718,064144,409924
060718,064244,410180
060718,064344,410436
060718,064444,410692
060718,064544,410948
060718,064645,411205
060718,064745,411461
060718,064845,411717
060718,064945,411973
060718,065045,413765
060718,065145,414021
060718,065246,414278
060718,065346,414534
060718,065446,414790
060718,065546,415046
060718,065646,415302
060718,065746,415558
060718,065847,415815
060718,065947,416071
060718,070047,458823
060718,070147,459079
060718,070247,459335
060718,070347,459591
060718,070448,459848
060718,070548,460104
060718,070648,460360
060718,070748,460616
060718,070848,460872
060718,070949,461129
060718,071049,462921
060718,071149,463177
060718,071249,463433
060718,071349,463689
060718,071449,463945
060718,071550,464208
060718,071650,464464
060718,071750,464720
060718,071850,464976
060718,071950,465232
060718,072050,467024
060718,072151,467281
060718,072251,467537
060718,072351,467793
060718,072451,468049
060718,072551,468305
060718,072652,468562
060718,072752,468818
060718,072852,469074
060718,072952,469330
060718,073052,471122
060718,073152,471378
060718,073253,471635
060718,073353,471891
060718,073453,472147
060718,073553,472403
060718,073653,472659
060718,073753,472915
060718,073854,473172
060718,073954,473428
060718,074054,475220
060718,074154,475476
060718,074254,475732
060718,074354,475988
060718,074455,476245
060718,074555,476501
060718,074655,476757
060718,074755,477013
060718,074855,477269
060718,074955,477525
060718,075056,479318
060718,075156,479574
060718,075256,479830
060718,075356,480086
060718,075456,480342
060718,075557,480599
060718,075657,480855
060718,075757,481111
060718,075857,481367
060718,075957,481623
060718,080057,524375
060718,080158,524632
060718,080258,524888
060718,080358,525144
060718,080458,525400
060718,080558,525656
060718,080658,525912
060718,080759,526169
060718,080859,526425
060718,080959,526681
060718,081059,528473
060718,081159,528729
060718,081259,528985
060718,081400,529408
060718,081500,529664
060718,081600,529920
060718,081700,530176
060718,081800,530432
060718,081901,530689
060718,082001,532481
060718,082101,532737
060718,082201,532993
060718,082301,533249
060718,082401,533505
060718,082502,533762
060718,082602,534018
060718,082702,534274
060718,082802,534530
060718,082902,534786
060718,083002,536578
060718,083103,536835
060718,083203,537091
060718,083303,537347
060718,083403,537603
060718,083503,537859
060718,083604,538116
060718,083704,538372
060718,083804,538628
060718,083904,538884
060718,084004,540676
060718,084104,540932
060718,084205,541189
060718,084305,541445
060718,084405,541701
060718,084505,541957
060718,084605,542213
060718,084705,542469
060718,084806,542726
060718,084906,542982
060718,085006,544774
060718,085106,545030
060718,085206,545286
060718,085306,545542
060718,085407,545799
060718,085507,546055
060718,085607,546311
060718,085707,546567
060718,085807,546823
060718,085907,547079
060718,090008,589832
060718,090108,590088
060718,090208,590344
060718,090308,590600
060718,090408,590856
060718,090509,591113
060718,090609,591369
060718,090709,591625
060718,090809,591881
060718,090909,592137
060718,091009,593929
060718,091110,594192
060718,091210,594448
060718,091310,594704
060718,091410,594960
060718,091510,595216
060718,091610,595472
060718,091711,595729
060718,091811,595985
060718,091911,596241
060718,092011,598033
060718,092111,598289
060718,092211,598545
060718,092312,598802
060718,092412,599058
060718,092512,599314
060718,092612,599570
060718,092712,599826
060718,092813,600083
060718,092913,600339
060718,093013,602131
060718,093113,602387
060718,093213,602643
060718,093313,602899
060718,093414,603156
060718,093514,603412
060718,093614,603668
060718,093714,603924
060718,093814,604180
060718,093914,604436
060718,094015,606229
060718,094115,606485
060718,094215,606741
060718,094315,606997
060718,094415,607253
060718,094515,607509
060718,094616,607766
060718,094716,608022
060718,094816,608278
060718,094916,608534
060718,095016,610326
060718,095117,610583
060718,095217,610839
060718,095317,611095
060718,095417,611351
060718,095517,611607
060718,095617,611863
060718,095718,612120
060718,095818,612376
060718,095918,612632
060718,100018,1048600
060718,100118,1048856
060718,100218,1049112
060718,100319,1049369
060718,100419,1049625
060718,100519,1049881
060718,100619,1050137
060718,100719,1050393
060718,100819,1050649
060718,100920,1050912
060718,101020,1052704
060718,101120,1052960
060718,101220,1053216
060718,101320,1053472
060718,101421,1053729
060718,101521,1053985
060718,101621,1054241
060718,101721,1054497
060718,101821,1054753
060718,101921,1055009
060718,102022,1056802
060718,102122,1057058
060718,102222,1057314
060718,102322,1057570
060718,102422,1057826
060718,102522,1058082
060718,102623,1058339
060718,102723,1058595
060718,102823,1058851
060718,102923,1059107
060718,103023,1060899
060718,103123,1061155
060718,103224,1061412
060718,103324,1061668
060718,103424,1061924
060718,103524,1062180
060718,103624,1062436
060718,103725,1062693
060718,103825,1062949
060718,103925,1063205
060718,104025,1064997
060718,104125,1065253
060718,104225,1065509
060718,104326,1065766
060718,104426,1066022
060718,104526,1066278
060718,104626,1066534
060718,104726,1066790
060718,104826,1067046
060718,104927,1067303
060718,105027,1069095
060718,105127,1069351
060718,105227,1069607
060718,105327,1069863
060718,105427,1070119
060718,105528,1070376
060718,105628,1070632
060718,105728,1070888
060718,105828,1071144
060718,105928,1071400
060718,110029,1114153
060718,110129,1114409
060718,110229,1114665
060718,110329,1114921
060718,110429,1115177
060718,110529,1115433
060718,110630,1115696
060718,110730,1115952
060718,110830,1116208
060718,110930,1116464
060718,111030,1118256
060718,111130,1118512
060718,111231,1118769
060718,111331,1119025
060718,111431,1119281
060718,111531,1119537
060718,111631,1119793
060718,111731,1120049
060718,111832,1120306
060718,111932,1120562
060718,112032,1122354
060718,112132,1122610
060718,112232,1122866
060718,112333,1123123
060718,112433,1123379
060718,112533,1123635
