Fecha,Hora(UTC),Coincidencias
010320,000042,85
010320,000143,66
010320,000243,89
010320,000343,74
010320,000443,89
010320,000543,75
010320,000643,98
010320,000744,67
010320,000844,96
010320,000944,80
010320,001044,79
010320,001144,75
010320,001245,95
010320,001345,83
010320,001445,85
010320,001545,87
010320,001645,92
010320,001745,100
010320,001846,78
010320,001946,92
010320,002046,88
010320,002146,92
010320,002246,81
010320,002346,88
010320,002447,79
010320,002547,81
010320,002647,88
010320,002747,80
010320,002847,88
010320,002947,76
010320,003048,74
010320,003148,73
010320,003248,97
010320,003348,104
010320,003448,99
010320,003548,84
010320,003649,86
010320,003749,77
010320,003849,94
010320,003949,76
010320,004049,102
010320,004150,80
010320,004250,99
010320,004350,80
010320,004450,78
010320,004550,91
010320,004650,84
010320,004751,79
010320,004851,79
010320,004951,81
010320,005051,80
010320,005151,91
010320,005251,82
010320,005352,84
010320,005452,98
010320,005552,85
010320,005652,95
010320,005752,93
010320,005852,84
010320,005953,87
010320,010053,93
010320,010153,91
010320,010253,93
010320,010353,68
010320,010454,92
010320,010554,73
010320,010654,82
010320,010754,74
010320,010854,72
010320,010954,84
010320,011055,82
010320,011155,86
010320,011255,88
010320,011355,73
010320,011455,83
010320,011555,93
010320,011656,75
010320,011756,69
010320,011856,79
010320,011956,91
010320,012056,69
010320,012156,92
010320,012257,76
010320,012357,78
010320,012457,76
010320,012557,76
010320,012657,92
010320,012757,77
010320,012858,75
010320,012958,74
010320,013058,92
010320,013158,82
010320,013258,64
010320,013359,98
010320,013459,72
010320,013559,80
010320,013659,86
010320,013759,81
010320,013859,100
010320,014000,93
010320,014100,102
010320,014200,98
010320,014300,85
010320,014400,91
010320,014500,93
010320,014601,89
010320,014701,87
010320,014801,81
010320,014901,96
010320,015001,63
010320,015101,78
010320,015202,86
010320,015302,75
010320,015402,77
010320,015502,79
010320,015602,90
010320,015702,74
010320,015803,100
010320,015903,80
010320,020003,87
010320,020103,78
010320,020203,75
010320,020304,83
010320,020404,86
010320,020504,73
010320,020604,81
010320,020704,96
010320,020804,90
010320,020905,80
010320,021005,75
010320,021105,81
010320,021205,87
010320,021305,83
010320,021405,89
010320,021506,84
010320,021606,89
010320,021706,72
010320,021806,81
010320,021906,82
010320,022006,84
010320,022107,94
010320,022207,75
010320,022307,81
010320,022407,84
010320,022507,78
010320,022608,80
010320,022708,79
010320,022808,91
010320,022908,96
010320,023008,85
010320,023108,88
010320,023209,82
010320,023309,85
010320,023409,78
010320,023509,98
010320,023609,73
010320,023709,84
010320,023810,79
010320,023910,97
010320,024010,78
010320,024110,90
010320,024210,85
010320,024310,90
010320,024411,103
010320,024511,84
010320,024611,77
010320,024711,79
010320,024811,90
010320,024911,91
010320,025012,85
010320,025112,82
010320,025212,103
010320,025312,72
010320,025412,92
010320,025513,84
010320,025613,99
010320,025713,82
010320,025813,83
010320,025913,73
010320,030013,97
010320,030114,91
010320,030214,76
010320,030314,80
010320,030414,85
010320,030514,77
010320,030614,77
010320,030715,81
010320,030815,88
010320,030915,85
010320,031015,77
010320,031115,75
010320,031215,77
010320,031316,78
010320,031416,93
010320,031516,87
010320,031616,92
010320,031716,92
010320,031816,84
010320,031917,80
010320,032017,66
010320,032117,82
010320,032217,91
010320,032317,67
010320,032418,92
010320,032518,62
010320,032618,89
010320,032718,80
010320,032818,88
010320,032918,92
010320,033019,75
010320,033119,81
010320,033219,80
010320,033319,68
010320,033419,80
010320,033519,70
010320,033620,80
010320,033720,72
010320,033820,81
010320,033920,88
010320,034020,63
010320,034120,77
010320,034221,77
010320,034321,71
010320,034421,79
010320,034521,87
010320,034621,79
010320,034722,83
010320,034822,87
010320,034922,90
010320,035022,71
010320,035122,90
010320,035222,93
010320,035323,80
010320,035423,77
010320,035523,68
010320,035623,61
010320,035723,85
010320,035823,95
010320,035924,77
010320,040024,60
010320,040124,85
010320,040224,82
010320,040324,95
010320,040424,87
010320,040525,84
010320,040625,79
010320,040725,68
010320,040825,86
010320,040925,88
010320,041025,65
010320,041126,78
010320,041226,82
010320,041326,90
010320,041426,66
010320,041526,88
010320,041627,74
010320,041727,86
010320,041827,66
010320,041927,66
010320,042027,86
010320,042127,95
010320,042228,89
010320,042328,93
010320,042428,98
010320,042528,95
010320,042628,92
010320,042728,80
010320,042829,106
010320,042929,88
010320,043029,82
010320,043129,107
010320,043229,79
010320,043329,93
010320,043430,85
010320,043530,81
010320,043630,79
010320,043730,96
010320,043830,85
010320,043930,84
010320,044031,82
010320,044131,96
010320,044231,83
010320,044331,99
010320,044431,83
010320,044532,85
010320,044632,79
010320,044732,78
010320,044832,92
010320,044932,104
010320,045032,93
010320,045133,83
010320,045233,85
010320,045333,80
010320,045433,82
010320,045533,73
010320,045633,85
010320,045734,86
010320,045834,76
010320,045934,71
010320,050034,63
010320,050134,89
010320,050234,92
010320,050335,85
010320,050435,94
010320,050535,81
010320,050635,85
010320,050735,78
010320,050836,80
010320,050936,78
010320,051036,81
010320,051136,77
010320,051236,86
010320,051336,87
010320,051437,98
010320,051537,81
010320,051637,70
010320,051737,94
010320,051837,93
010320,051937,93
010320,052038,86
010320,052138,71
010320,052238,78
010320,052338,87
010320,052438,80
010320,052538,80
010320,052639,93
010320,052739,101
010320,052839,71
010320,052939,83
010320,053039,87
010320,053139,81
010320,053240,76
010320,053340,94
010320,053440,90
010320,053540,90
010320,053640,93
010320,053741,85
010320,053841,85
010320,053941,95
010320,054041,94
010320,054141,96
010320,054241,106
010320,054342,85
010320,054442,84
010320,054542,80
010320,054642,82
010320,054742,83
010320,054842,97
010320,054943,72
010320,055043,103
010320,055143,80
010320,055243,90
010320,055343,89
010320,055443,86
010320,055544,92
010320,055644,82
010320,055744,80
010320,055844,82
010320,055944,88
010320,060044,99
010320,060145,92
010320,060245,87
010320,060345,100
010320,060445,90
010320,060545,89
010320,060646,95
010320,060746,95
010320,060846,85
010320,060946,88
010320,061046,99
010320,061146,95
010320,061247,101
010320,061347,99
010320,061447,73
010320,061547,85
010320,061647,93
010320,061747,96
010320,061848,89
010320,061948,85
010320,062048,85
010320,062148,94
010320,062248,93
010320,062348,97
010320,062449,90
010320,062549,93
010320,062649,93
010320,062749,77
010320,062849,82
010320,062950,81
010320,063050,79
010320,063150,100
010320,063250,89
010320,063350,89
010320,063450,86
010320,063551,85
010320,063651,93
010320,063751,102
010320,063851,92
010320,063951,78
010320,064051,103
010320,064152,97
010320,064252,93
010320,064352,84
010320,064452,84
010320,064552,78
010320,064652,79
010320,064753,97
010320,064853,78
010320,064953,83
010320,065053,79
010320,065153,86
010320,065253,89
010320,065354,73
010320,065454,84
010320,065554,92
010320,065654,75
010320,065754,88
010320,065855,87
010320,065955,89
010320,070055,88
010320,070155,76
010320,070255,78
010320,070355,95
010320,070456,96
010320,070556,72
010320,070656,91
010320,070756,100
010320,070856,82
010320,070956,82
010320,071057,88
010320,071157,84
010320,071257,97
010320,071357,86
010320,071457,81
010320,071557,96
010320,071658,85
010320,071758,92
010320,071858,95
010320,071958,84
010320,072058,81
010320,072158,90
010320,072259,84
010320,072359,78
010320,072459,92
010320,072559,93
010320,072659,83
010320,072800,90
010320,072900,85
010320,073000,93
010320,073100,86
010320,073200,70
010320,073300,92
010320,073401,68
010320,073501,93
010320,073601,93
010320,073701,105
010320,073801,104
010320,073901,101
010320,074002,72
010320,074102,90
010320,074202,96
010320,074302,85
010320,074402,81
010320,074502,95
010320,074603,83
010320,074703,96
010320,074803,72
010320,074903,89
010320,075003,103
010320,075104,105
010320,075204,92
010320,075304,68
010320,075404,100
010320,075504,77
010320,075604,90
010320,075705,98
010320,075805,80
010320,075905,99
010320,080005,103
010320,080105,95
010320,080205,90
010320,080306,87
010320,080406,72
010320,080506,94
010320,080606,87
010320,080706,94
010320,080806,87
010320,080907,92
010320,081007,85
010320,081107,80
010320,081207,90
010320,081307,75
010320,081407,76
010320,081508,86
010320,081608,91
010320,081708,85
010320,081808,95
010320,081908,85
010320,082009,88
010320,082109,78
010320,082209,98
010320,082309,71
010320,082409,97
010320,082509,69
010320,082610,92
010320,082710,86
010320,082810,83
010320,082910,92
010320,083010,81
010320,083110,84
010320,083211,104
010320,083311,106
010320,083411,73
010320,083511,103
010320,083611,84
010320,083711,95
010320,083812,82
010320,083912,91
010320,084012,82
010320,084112,90
010320,084212,89
010320,084312,85
010320,084413,89
010320,084513,94
010320,084613,92
010320,084713,97
010320,084813,107
010320,084914,83
010320,085014,83
010320,085114,84
010320,085214,87
010320,085314,107
010320,085414,88
010320,085515,89
010320,085615,107
010320,085715,79
010320,085815,99
010320,085915,97
010320,090015,106
010320,090116,110
010320,090216,96
010320,090316,82
010320,090416,89
010320,090516,85
010320,090616,86
010320,090717,101
010320,090817,89
010320,090917,102
010320,091017,71
010320,091117,87
010320,091217,79
010320,091318,94
010320,091418,104
010320,091518,90
010320,091618,90
010320,091718,77
010320,091819,93
010320,091919,101
010320,092019,81
010320,092119,77
010320,092219,106
010320,092319,95
010320,092420,91
010320,092520,104
010320,092620,98
010320,092720,87
010320,092820,93
010320,092920,92
010320,093021,92
010320,093121,103
010320,093221,79
010320,093321,99
010320,093421,69
010320,093521,93
010320,093622,88
010320,093722,95
010320,093822,89
010320,093922,85
010320,094022,102
010320,094123,99
010320,094223,95
010320,094323,99
010320,094423,90
010320,094523,89
010320,094623,81
010320,094724,98
010320,094824,111
010320,094924,105
010320,095024,97
010320,095124,91
010320,095224,100
010320,095325,95
010320,095425,94
010320,095525,83
010320,095625,88
010320,095725,85
010320,095825,93
010320,095926,111
010320,100026,88
010320,100126,82
010320,100226,81
010320,100326,90
010320,100426,93
010320,100527,90
010320,100627,93
010320,100727,100
010320,100827,87
010320,100927,96
010320,101028,87
010320,101128,100
010320,101228,111
010320,101328,69
010320,101428,83
010320,101528,96
010320,101629,90
010320,101729,74
010320,101829,90
010320,101929,89
010320,102029,94
010320,102129,102
010320,102230,85
010320,102330,81
010320,102430,89
010320,102530,100
010320,102630,107
010320,102730,93
010320,102831,100
010320,102931,84
010320,103031,81
010320,103131,102
010320,103231,107
010320,103331,94
010320,103432,85
010320,103532,98
010320,103632,100
010320,103732,86
010320,103832,108
010320,103933,88
010320,104033,87
010320,104133,88
010320,104233,106
010320,104333,96
010320,104433,104
010320,104534,100
010320,104634,94
010320,104734,108
010320,104834,103
010320,104934,96
010320,105034,89
010320,105135,97
010320,105235,102
010320,105335,94
010320,105435,118
010320,105535,79
010320,105635,88
010320,105736,102
010320,105836,94
010320,105936,92
010320,110036,104
010320,110136,86
010320,110237,98
010320,110337,97
010320,110437,88
010320,110537,90
010320,110637,96
010320,110737,111
010320,110838,108
010320,110938,87
010320,111038,94
010320,111138,100
010320,111238,93
010320,111338,89
010320,111439,86
010320,111539,82
010320,111639,85
010320,111739,89
010320,111839,96
010320,111939,87
010320,112040,102
010320,112140,103
010320,112240,94
010320,112340,88
010320,112440,83
010320,112540,74
010320,112641,100
010320,112741,97
010320,112841,113
010320,112941,84
010320,113041,96
010320,113142,87
010320,113242,97
010320,113342,105
010320,113442,112
010320,113542,83
010320,113642,86
010320,113743,88
010320,113843,86
010320,113943,92
010320,114043,104
010320,114143,109
010320,114243,85
010320,114344,96
010320,114444,80
010320,114544,111
010320,114644,77
010320,114744,91
010320,114844,89
010320,114945,100
010320,115045,93
010320,115145,96
010320,115245,77
010320,115345,79
010320,115445,77
010320,115546,98
010320,115646,103
010320,115746,89
010320,115846,100
010320,115946,90
010320,120047,92
010320,120147,94
010320,120247,77
010320,120347,93
010320,120447,70
010320,120547,119
010320,120648,94
010320,120748,89
010320,120848,86
010320,120948,90
010320,121048,87
010320,121148,98
010320,121249,62
010320,121349,87
010320,121449,92
010320,121549,75
010320,121649,106
010320,121749,82
010320,121850,89
010320,121950,89
010320,122050,88
010320,122150,98
010320,122250,81
010320,122351,107
010320,122451,100
010320,122551,95
010320,122651,101
010320,122751,91
010320,122851,80
010320,122952,102
010320,123052,88
010320,123152,105
010320,123252,91
010320,123352,102
010320,123452,94
010320,123553,97
010320,123653,102
010320,123753,94
010320,123853,100
010320,123953,99
010320,124053,88
010320,124154,90
010320,124254,87
010320,124354,96
010320,124454,89
010320,124554,68
010320,124654,97
010320,124755,87
010320,124855,93
010320,124955,97
010320,125055,114
010320,125155,88
010320,125256,109
010320,125356,86
010320,125456,85
010320,125556,84
010320,125656,82
010320,125756,102
010320,125857,89
010320,125957,100
010320,130057,87
010320,130157,82
010320,130257,92
010320,130357,92
010320,130458,94
010320,130558,104
010320,130658,117
010320,130758,98
010320,130858,95
010320,130958,93
010320,131059,94
010320,131159,98
010320,131259,80
010320,131359,72
010320,131459,109
010320,131559,107
010320,131700,80
010320,131800,89
010320,131900,96
010320,132000,84
010320,132100,92
010320,132201,99
010320,132301,109
