DS 0000023D 0000008A 00000000 00000000 00000030
DS 000003FA 000000E8 00000000 00000000 0000005A
DS 000003FF 000000E8 00000000 00000000 00000067
DS 000003D9 000000DE 00000000 00000000 00000056
DS 0000038D 000000EA 00000000 00000000 00000063
DS 0000047F 00000147 00000000 00000000 0000007D
DS 00000411 00000126 00000000 00000000 00000062
DS 00000503 00000199 00000000 00000000 000000B7
DS 000003D5 000000FC 00000000 00000000 00000056
DS 000003A3 000000E7 00000000 00000000 0000005E
DS 00000399 000000F4 00000000 00000000 0000005F
DS 000003E6 000000F1 00000000 00000000 00000051
DS 000003D1 000000DD 00000000 00000000 00000059
DS 000003AB 000000E4 00000000 00000000 00000052
DS 00000407 000000F4 00000000 00000000 00000059
DS 000003B4 000000EA 00000000 00000000 0000005E
DS 000003CF 000000DD 00000000 00000000 0000004F
DS 000003D0 000000E0 00000000 00000000 00000051
DS 000003E3 00000100 00000000 00000000 00000066
DS 00000392 000000DA 00000000 00000000 00000046
DS 000003F0 000000EC 00000000 00000000 00000066
DS 000003BE 000000F4 00000000 00000000 0000005E
DS 000003B9 000000E5 00000000 00000000 00000058
DS 000003CF 000000F5 00000000 00000000 0000005E
DS 000003E0 000000D7 00000000 00000000 0000004B
DS 000003BE 000000F7 00000000 00000000 00000059
DS 000003C3 000000CE 00000000 00000000 00000045
DS 0000039F 000000DF 00000000 00000000 00000058
DS 00000380 000000F8 00000000 00000000 0000005F
DS 00000382 000000D7 00000000 00000000 00000048
DS 000003C3 000000F4 00000000 00000000 00000051
DS 000003A9 000000D9 00000000 00000000 0000005A
DS 000003A5 000000E3 00000000 00000000 00000057
DS 0000038F 000000DC 00000000 00000000 00000054
DS 00000389 000000DF 00000000 00000000 00000056
DS 000003A6 000000CA 00000000 00000000 00000045
DS 000003BD 000000F8 00000000 00000000 0000005B
DS 000003A5 000000EC 00000000 00000000 00000055
DS 00000398 000000FA 00000000 00000000 00000057
DS 000003B2 000000C4 00000000 00000000 0000004D
DS 000003BC 000000EF 00000000 00000000 0000005A
DS 000003B1 000000CE 00000000 00000000 0000004A
DS 00000386 000000E4 00000000 00000000 00000051
DS 000003A7 000000E2 00000000 00000000 00000063
DS 000003A5 000000E6 00000000 00000000 00000053
DS 000003C4 000000EB 00000000 00000000 0000005D
DS 000003D0 000000F6 00000000 00000000 0000005E
DS 00000399 000000F5 00000000 00000000 00000056
DS 000003A4 000000D9 00000000 00000000 0000005A
DS 000003AB 000000E5 00000000 00000000 00000059
DS 0000038A 000000BE 00000000 00000000 00000044
DS 000003BE 000000D1 00000000 00000000 00000056
DS 000003AA 000000FB 00000000 00000000 0000005E
DS 000003BD 000000F6 00000000 00000000 00000052
DS 00000398 000000E0 00000000 00000000 0000004C
DS 000003C3 000000D7 00000000 00000000 00000055
DS 0000037E 000000D0 00000000 00000000 00000051
DS 000003B0 000000D9 00000000 00000000 0000003F
DS 000003E0 000000EA 00000000 00000000 00000067
DS 000003B8 000000DE 00000000 00000000 0000005D
DS 000003D8 000000BE 00000000 00000000 00000049
DS 000003C1 000000ED 00000000 00000000 0000005B
DS 000003F3 000000DF 00000000 00000000 00000057
DS 000003A4 000000E1 00000000 00000000 00000048
DS 0000039C 000000EA 00000000 00000000 00000050
DS 000003B1 000000D6 00000000 00000000 00000050
DS 000003F2 000000FE 00000000 00000000 0000005F
DS 000003C3 000000DF 00000000 00000000 0000005B
DS 0000037B 000000DF 00000000 00000000 00000050
DS 0000038B 000000FB 00000000 00000000 0000005B
DS 00000398 000000D2 00000000 00000000 0000004A
DS 000003CB 000000DA 00000000 00000000 00000051
DS 000003DA 000000DE 00000000 00000000 00000053
DS 00000372 000000DB 00000000 00000000 00000048
DS 000003DC 00000104 00000000 00000000 0000005D
DS 000003A3 000000DB 00000000 00000000 0000004A
DS 000003DF 000000E2 00000000 00000000 0000004C
DS 000003CD 000000CC 00000000 00000000 00000055
DS 00000371 000000D0 00000000 00000000 0000004E
DS 000003B2 000000E4 00000000 00000000 00000056
DS 00000375 000000DB 00000000 00000000 0000005A
DS 0000037A 000000EB 00000000 00000000 00000057
DS 0000039D 000000D5 00000000 00000000 00000052
DS 000003AC 00000106 00000000 00000000 0000006F
DS 00000391 000000DB 00000000 00000000 0000004E
DS 000003E8 000000DE 00000000 00000000 00000059
DS 000003A2 000000DE 00000000 00000000 00000061
DS 0000036F 000000D0 00000000 00000000 00000050
DS 00000370 000000E0 00000000 00000000 0000004F
DS 0000038E 000000E4 00000000 00000000 00000056
DS 000003A8 000000E2 00000000 00000000 0000005A
DS 000003D1 000000DB 00000000 00000000 0000004C
DS 00000385 000000E0 00000000 00000000 00000049
DS 000003AA 000000DB 00000000 00000000 0000005C
DS 0000036F 000000DC 00000000 00000000 00000045
DS 000003D2 000000FD 00000000 00000000 00000058
DS 00000385 000000E4 00000000 00000000 00000059
DS 000003A5 000000D3 00000000 00000000 00000040
DS 000003B3 000000CD 00000000 00000000 00000055
DS 000003C3 000000E1 00000000 00000000 0000005E
DS 0000039B 000000C4 00000000 00000000 00000055
DS 000003C4 000000E7 00000000 00000000 0000004D
DS 0000039F 000000D6 00000000 00000000 0000004F
DS 000003B3 000000D2 00000000 00000000 00000051
DS 000003EC 000000E6 00000000 00000000 0000005B
DS 0000039A 000000E0 00000000 00000000 0000005B
DS 00000393 000000D5 00000000 00000000 00000046
DS 000003B9 000000D3 00000000 00000000 00000053
DS 000003A3 000000E9 00000000 00000000 00000055
DS 000003C9 000000E4 00000000 00000000 0000005A
DS 0000038F 000000CC 00000000 00000000 00000041
DS 0000037F 000000D9 00000000 00000000 00000054
DS 0000039C 000000D6 00000000 00000000 0000004C
DS 000003F3 000000DC 00000000 00000000 00000065
DS 000003BC 000000B9 00000000 00000000 00000049
DS 000003BE 000000F0 00000000 00000000 00000061
DS 000003A2 000000CC 00000000 00000000 0000004E
DS 00000397 000000F4 00000000 00000000 00000056
DS 000003A8 000000F6 00000000 00000000 00000054
DS 000003A3 000000E3 00000000 00000000 00000061
DS 00000392 000000C0 00000000 00000000 00000044
DS 000003B6 000000ED 00000000 00000000 00000054
DS 00000389 000000E5 00000000 00000000 0000004D
DS 0000039C 000000CE 00000000 00000000 00000047
DS 000003A4 000000E6 00000000 00000000 0000005E
DS 00000394 000000F6 00000000 00000000 00000055
DS 000003D5 000000DA 00000000 00000000 00000058
DS 000003C8 000000E4 00000000 00000000 00000054
DS 00000391 000000E5 00000000 00000000 00000049
DS 000003CD 000000E1 00000000 00000000 00000056
DS 00000380 000000DF 00000000 00000000 00000054
DS 000003A1 000000E4 00000000 00000000 00000055
DS 000003B3 000000E5 00000000 00000000 00000050
DS 00000354 000000DB 00000000 00000000 0000004D
DS 000003C1 000000CD 00000000 00000000 00000054
DS 00000379 000000F2 00000000 00000000 0000004D
DS 00000393 000000C8 00000000 00000000 00000044
DS 0000038A 000000D0 00000000 00000000 0000004F
DS 00000378 000000D9 00000000 00000000 00000051
DS 00000394 000000D7 00000000 00000000 0000004F
DS 000003A8 000000FA 00000000 00000000 00000064
DS 0000036C 000000C4 00000000 00000000 00000044
DS 00000389 000000E1 00000000 00000000 0000004E
DS 000003BA 000000D8 00000000 00000000 00000052
DS 000003AB 000000DA 00000000 00000000 0000004F
DS 0000039D 000000C4 00000000 00000000 0000003B
DS 0000036F 000000D9 00000000 00000000 0000004A
DS 00000396 000000D3 00000000 00000000 00000049
DS 00000369 000000CA 00000000 00000000 0000004C
DS 00000381 000000D6 00000000 00000000 0000004B
DS 000003A3 000000D2 00000000 00000000 0000004F
DS 000003A3 000000E9 00000000 00000000 00000055
DS 000003A1 000000E1 00000000 00000000 00000053
DS 00000382 000000D2 00000000 00000000 0000004E
DS 0000038A 000000E4 00000000 00000000 00000048
DS 000003E3 000000E0 00000000 00000000 00000062
DS 000003B4 000000CA 00000000 00000000 00000058
DS 0000037B 000000F4 00000000 00000000 00000062
DS 000003BA 000000D3 00000000 00000000 00000055
DS 00000382 000000BB 00000000 00000000 00000045
DS 000003A0 000000E2 00000000 00000000 00000056
DS 0000036C 000000C8 00000000 00000000 00000053
DS 000003DC 000000FC 00000000 00000000 00000060
DS 00000397 000000F2 00000000 00000000 0000004F
DS 00000379 000000E8 00000000 00000000 00000059
DS 00000374 000000D7 00000000 00000000 00000049
DS 000003C1 000000D5 00000000 00000000 0000005A
DS 0000038E 000000C8 00000000 00000000 00000046
DS 000003B6 000000D4 00000000 00000000 00000054
DS 00000399 000000DA 00000000 00000000 00000049
DS 000003AA 000000EA 00000000 00000000 00000058
DS 0000039A 000000D9 00000000 00000000 0000005A
DS 000003B5 000000C5 00000000 00000000 00000049
DS 000003B6 000000CF 00000000 00000000 00000049
DS 0000038A 000000CC 00000000 00000000 00000050
DS 0000038D 000000BE 00000000 00000000 0000003A
DS 0000038F 000000EB 00000000 00000000 00000053
DS 00000365 000000E0 00000000 00000000 00000053
DS 0000036C 000000DF 00000000 00000000 0000004E
DS 0000039D 000000CC 00000000 00000000 0000004D
DS 0000037B 000000DA 00000000 00000000 00000054
DS 00000384 000000E2 00000000 00000000 0000004E
DS 000003B5 000000F0 00000000 00000000 00000051
DS 00000368 000000D3 00000000 00000000 0000004D
DS 00000370 000000CA 00000000 00000000 0000004A
DS 00000370 000000D6 00000000 00000000 0000005B
DS 00000379 000000E8 00000000 00000000 0000004B
DS 0000036C 000000C7 00000000 00000000 0000003F
DS 00000372 000000D4 00000000 00000000 00000054
DS 00000379 000000CD 00000000 00000000 00000045
DS 00000374 000000D2 00000000 00000000 00000047
DS 00000372 000000D2 00000000 00000000 00000036
DS 0000038C 000000D2 00000000 00000000 00000054
DS 00000395 000000D9 00000000 00000000 00000054
DS 000003B8 000000D5 00000000 00000000 00000041
DS 00000383 000000D5 00000000 00000000 00000047
DS 000003D8 000000C2 00000000 00000000 00000049
DS 00000391 000000D0 00000000 00000000 00000048
DS 000003FF 000000F5 00000000 00000000 00000051
DS 000003BE 000000E6 00000000 00000000 0000005C
DS 0000036A 000000B5 00000000 00000000 00000045
DS 000003A2 000000D8 00000000 00000000 0000004E
DS 000003A5 000000D7 00000000 00000000 0000004B
DS 000003C5 000000D6 00000000 00000000 00000051
DS 0000039D 000000CD 00000000 00000000 00000051
DS 0000037E 000000C4 00000000 00000000 00000047
DS 000003A4 000000CC 00000000 00000000 00000055
DS 00000396 000000B2 00000000 00000000 0000003B
DS 00000383 000000CD 00000000 00000000 00000049
DS 0000039F 000000D2 00000000 00000000 00000049
DS 0000038C 000000D1 00000000 00000000 0000004B
DS 000003B8 000000DD 00000000 00000000 0000004D
DS 0000038A 000000D4 00000000 00000000 0000004D
DS 00000364 000000DC 00000000 00000000 00000049
