Fecha,Hora(UTC),Coincidencias
020320,142720,48
020320,142820,90
020320,142920,103
020320,143020,86
020320,143121,99
020320,143321,125
020320,143421,98
020320,143521,183
020320,143622,86
020320,143722,94
020320,143822,95
020320,143922,81
020320,144022,89
020320,144122,82
020320,144223,89
020320,144323,94
020320,144423,79
020320,144523,81
020320,144623,102
020320,144723,70
020320,144824,102
020320,144924,94
020320,145024,88
020320,145124,94
020320,145224,75
020320,145324,89
020320,145425,69
020320,145525,88
020320,145625,95
020320,145725,72
020320,145825,81
020320,145926,90
020320,150026,87
020320,150126,84
020320,150226,86
020320,150326,69
020320,150426,91
020320,150527,85
020320,150627,87
020320,150727,77
020320,150827,90
020320,150927,74
020320,151027,81
020320,151128,99
020320,151228,83
020320,151328,93
020320,151428,94
020320,151528,86
020320,151628,90
020320,151729,89
020320,151829,68
020320,151929,86
020320,152029,94
020320,152129,82
020320,152229,76
020320,152330,85
020320,152430,81
020320,152530,63
020320,152630,103
020320,152730,93
020320,152831,73
020320,152931,91
020320,153031,87
020320,153131,72
020320,153231,80
020320,153331,80
020320,153432,95
020320,153532,91
020320,153632,80
020320,153732,91
020320,153832,74
020320,153932,81
020320,154033,83
020320,154133,72
020320,154233,93
020320,154333,74
020320,154433,76
020320,154533,85
020320,154634,78
020320,154734,86
020320,154834,90
020320,154934,87
020320,155034,82
020320,155135,111
020320,155235,78
020320,155335,89
020320,155435,97
020320,155535,80
020320,155635,79
020320,155736,86
020320,155836,90
020320,155936,76
020320,160036,73
020320,160136,92
020320,160236,69
020320,160337,88
020320,160437,89
020320,160537,64
020320,160637,85
020320,160737,94
020320,160837,85
020320,160938,77
020320,161038,79
020320,161138,81
020320,161238,91
020320,161338,91
020320,161438,70
020320,161539,83
020320,161639,85
020320,161739,90
020320,161839,65
020320,161939,84
020320,162040,76
020320,162140,101
020320,162240,73
020320,162340,97
020320,162440,78
020320,162540,86
020320,162641,84
020320,162741,97
020320,162841,68
020320,162941,84
020320,163041,77
020320,163141,71
020320,163242,94
020320,163342,85
020320,163442,88
020320,163542,84
020320,163642,73
020320,163742,86
020320,163843,84
020320,163943,85
020320,164043,80
020320,164143,77
020320,164243,84
020320,164343,77
020320,164444,68
020320,164544,79
020320,164644,81
020320,164744,79
020320,164844,100
020320,164945,68
020320,165045,78
020320,165145,82
020320,165245,79
020320,165345,59
020320,165445,74
020320,165546,73
020320,165646,76
020320,165746,75
020320,165846,79
020320,165946,85
020320,170046,83
020320,170147,78
020320,170247,72
020320,170347,98
020320,170447,88
020320,170547,98
020320,170647,85
020320,170748,69
020320,170848,86
020320,170948,83
020320,171048,96
020320,171148,79
020320,171249,89
020320,171349,73
020320,171449,90
020320,171549,70
020320,171649,84
020320,171749,73
020320,171850,88
020320,171950,90
020320,172050,73
020320,172150,73
020320,172250,80
020320,172350,58
020320,172451,83
020320,172551,83
020320,172651,78
020320,172751,77
020320,172851,84
