Fecha,Hora(UTC),Coincidencias
200220,165515,38
200220,165615,97
200220,165716,90
200220,165816,74
200220,165916,85
200220,170016,76
200220,170116,91
200220,170216,72
200220,170317,99
200220,170417,102
200220,170517,88
200220,170617,79
200220,170717,79
200220,170817,76
200220,170918,87
200220,171018,94
200220,171118,79
200220,171218,70
200220,171318,76
200220,171419,88
200220,171519,79
200220,171619,79
200220,171719,99
200220,171819,66
200220,171919,77
200220,172020,76
200220,172120,89
200220,172220,83
200220,172320,81
200220,172420,75
200220,172520,76
200220,172621,98
200220,172721,83
200220,172821,90
200220,172921,83
200220,173021,77
200220,173121,68
200220,173222,67
200220,173322,71
200220,173422,78
200220,173522,85
200220,173622,71
200220,173722,95
200220,173823,75
200220,173923,83
200220,174023,66
200220,174123,88
200220,174223,63
200220,174324,69
200220,174424,94
200220,174524,53
200220,174624,78
200220,174724,66
200220,174824,88
200220,174925,73
200220,175025,81
200220,175125,79
200220,175225,82
200220,175325,80
200220,175425,70
200220,175526,84
200220,175626,75
200220,175726,78
200220,175826,83
200220,175926,68
200220,180026,76
200220,180127,65
200220,180227,61
200220,180327,68
200220,180427,81
200220,180527,78
200220,180627,65
200220,180728,75
200220,180828,89
200220,180928,70
200220,181028,76
200220,181128,75
200220,181229,66
200220,181329,92
200220,181429,66
200220,181529,77
200220,181629,82
200220,181729,69
200220,181830,83
200220,181930,75
200220,182030,77
200220,182130,67
200220,182230,78
200220,182330,79
200220,182431,87
200220,182531,76
200220,182631,79
200220,182731,81
200220,182831,79
200220,182931,62
200220,183032,75
200220,183132,76
200220,183232,87
200220,183332,75
200220,183432,71
200220,183533,74
200220,183633,76
200220,183733,69
200220,183833,77
200220,183933,73
200220,184033,73
200220,184134,76
200220,184234,69
200220,184334,89
200220,184434,64
200220,184534,86
200220,184634,62
200220,184735,73
200220,184835,69
200220,184935,70
200220,185035,62
200220,185135,71
200220,185235,67
200220,185336,66
200220,185436,72
200220,185536,75
200220,185636,77
200220,185736,76
200220,185836,80
200220,185937,67
200220,190037,88
200220,190137,64
200220,190237,53
200220,190337,78
200220,190438,76
200220,190538,81
200220,190638,84
200220,190738,90
200220,190838,72
200220,190938,74
200220,191039,67
200220,191139,74
200220,191239,70
200220,191339,69
200220,191439,71
200220,191539,59
200220,191640,70
200220,191740,67
200220,191840,79
200220,191940,71
200220,192040,90
200220,192140,99
200220,192241,91
200220,192341,91
200220,192441,72
200220,192541,72
200220,192641,81
200220,192741,93
200220,192842,92
200220,192942,70
200220,193042,92
200220,193142,106
200220,193242,89
200220,193343,102
200220,193443,82
200220,193543,82
200220,193643,75
200220,193743,89
200220,193843,74
200220,193944,95
200220,194044,74
200220,194144,89
200220,194244,97
200220,194344,92
200220,194444,88
200220,194545,81
200220,194645,81
200220,194745,77
200220,194845,82
200220,194945,103
200220,195045,72
200220,195146,76
200220,195246,86
200220,195346,97
200220,195446,93
200220,195546,101
200220,195647,88
200220,195747,93
200220,195847,98
200220,195947,86
200220,200047,79
200220,200147,80
200220,200248,81
200220,200348,97
200220,200448,90
200220,200548,89
200220,200648,84
200220,200748,93
200220,200849,104
200220,200949,108
200220,201049,90
200220,201149,82
200220,201249,90
200220,201349,94
200220,201450,76
200220,201550,93
200220,201650,67
200220,201750,79
200220,201850,110
200220,201950,87
200220,202051,72
200220,202151,87
200220,202251,78
200220,202351,80
200220,202451,110
200220,202552,81
200220,202652,85
200220,202752,88
200220,202852,92
200220,202952,96
200220,203052,99
200220,203153,97
200220,203253,95
200220,203353,94
200220,203453,79
200220,203553,87
200220,203653,100
200220,203754,80
200220,203854,77
200220,203954,103
200220,204054,85
200220,204154,67
200220,204254,86
200220,204355,80
200220,204455,90
200220,204555,93
200220,204655,88
200220,204755,102
200220,204855,86
200220,204956,95
200220,205056,73
200220,205156,111
200220,205256,89
200220,205356,94
200220,205457,96
200220,205557,96
200220,205657,92
200220,205757,99
200220,205857,91
200220,205957,93
200220,210058,106
200220,210158,82
200220,210258,104
200220,210358,97
200220,210458,77
200220,210558,85
200220,210659,82
200220,210759,79
200220,210859,96
200220,210959,88
200220,211059,81
200220,211159,70
200220,211300,90
200220,211400,87
200220,211500,80
200220,211600,99
200220,211700,81
200220,211801,91
200220,211901,97
200220,212001,89
200220,212101,86
200220,212201,73
200220,212301,88
200220,212402,76
200220,212502,75
200220,212602,82
200220,212702,86
200220,212802,74
200220,212902,102
200220,213003,83
200220,213103,77
200220,213203,72
200220,213303,65
200220,213403,68
200220,213503,68
200220,213604,82
200220,213704,90
200220,213804,69
200220,213904,63
200220,214004,92
200220,214104,89
200220,214205,76
200220,214305,66
200220,214405,70
200220,214505,93
200220,214605,76
200220,214706,79
200220,214806,67
200220,214906,62
200220,215006,67
200220,215106,78
200220,215206,70
200220,215307,87
200220,215407,83
200220,215507,86
200220,215607,87
200220,215707,82
200220,215807,83
200220,215908,80
200220,220008,70
200220,220108,83
200220,220208,85
200220,220308,81
200220,220408,57
200220,220509,77
200220,220609,70
200220,220709,77
200220,220809,64
200220,220909,69
200220,221009,68
200220,221110,59
200220,221210,84
200220,221310,68
200220,221410,85
200220,221510,78
200220,221611,91
200220,221711,62
200220,221811,70
200220,221911,78
200220,222011,77
200220,222111,93
200220,222212,76
200220,222312,68
200220,222412,79
200220,222512,71
200220,222612,83
200220,222712,68
200220,222813,72
200220,222913,58
200220,223013,68
200220,223113,71
200220,223213,63
200220,223313,78
200220,223414,82
200220,223514,79
200220,223614,67
200220,223714,60
200220,223814,78
200220,223915,96
200220,224015,76
200220,224115,90
200220,224215,91
200220,224315,88
200220,224415,78
200220,224516,86
200220,224616,74
200220,224716,57
200220,224816,57
200220,224916,74
200220,225016,75
200220,225117,74
200220,225217,61
200220,225317,73
200220,225417,62
